Row,Column,Percentage,Sex
1,1,1.00%,Female
1,2,2.00%,Female
1,3,3.00%,Female
1,4,4.00%,Female
1,5,5.00%,Female
1,6,6.00%,Female
1,7,7.00%,Female
1,8,8.00%,Female
1,9,9.00%,Female
1,10,10.00%,Female
2,1,11.00%,Female
2,2,12.00%,Female
2,3,13.00%,Female
2,4,14.00%,Female
2,5,15.00%,Female
2,6,16.00%,Female
2,7,17.00%,Female
2,8,18.00%,Female
2,9,19.00%,Female
2,10,20.00%,Female
3,1,21.00%,Female
3,2,22.00%,Female
3,3,23.00%,Female
3,4,24.00%,Male
3,5,25.00%,Male
3,6,26.00%,Male
3,7,27.00%,Male
3,8,28.00%,Male
3,9,29.00%,Male
3,10,30.00%,Male
4,1,31.00%,Male
4,2,32.00%,Male
4,3,33.00%,Male
4,4,34.00%,Male
4,5,35.00%,Male
4,6,36.00%,Male
4,7,37.00%,Male
4,8,38.00%,Male
4,9,39.00%,Male
4,10,40.00%,Male
5,1,41.00%,Male
5,2,42.00%,Male
5,3,43.00%,Male
5,4,44.00%,Male
5,5,45.00%,Male
5,6,46.00%,Male
5,7,47.00%,Male
5,8,48.00%,Male
5,9,49.00%,Male
5,10,50.00%,Male
6,1,51.00%,Male
6,2,52.00%,Male
6,3,53.00%,Male
6,4,54.00%,Male
6,5,55.00%,Male
6,6,56.00%,Male
6,7,57.00%,Male
6,8,58.00%,Male
6,9,59.00%,Male
6,10,60.00%,Male
7,1,61.00%,Male
7,2,62.00%,Male
7,3,63.00%,Male
7,4,64.00%,Male
7,5,65.00%,Male
7,6,66.00%,Male
7,7,67.00%,Male
7,8,68.00%,Male
7,9,69.00%,Male
7,10,70.00%,Male
8,1,71.00%,Male
8,2,72.00%,Male
8,3,73.00%,Male
8,4,74.00%,Male
8,5,75.00%,Male
8,6,76.00%,Male
8,7,77.00%,Male
8,8,78.00%,Male
8,9,79.00%,Male
8,10,80.00%,Male
9,1,81.00%,Male
9,2,82.00%,Male
9,3,83.00%,Male
9,4,84.00%,Male
9,5,85.00%,Male
9,6,86.00%,Male
9,7,87.00%,Male
9,8,88.00%,Male
9,9,89.00%,Male
9,10,90.00%,Male
10,1,91.00%,Male
10,2,92.00%,Male
10,3,93.00%,Male
10,4,94.00%,Male
10,5,95.00%,Male
10,6,96.00%,Male
10,7,97.00%,Male
10,8,98.00%,Male
10,9,99.00%,Male
10,10,100.00%,Male